sample,time_us,channel1_v
847,271.040000,3.308466308
848,271.360000,3.304755994
849,271.680000,3.304755994
850,272.000000,3.304755994
851,272.320000,3.304755994
852,272.640000,3.301045681
853,272.960000,3.304755994
854,273.280000,3.304755994
855,273.600000,3.304755994
856,273.920000,3.308466308
857,274.240000,3.308466308
858,274.560000,3.304755994
859,274.880000,3.304755994
860,275.200000,3.304755994
861,275.520000,3.304755994
862,275.840000,3.308466308
863,276.160000,3.304755994
864,276.480000,3.308466308
865,276.800000,3.308466308
866,277.120000,3.304755994
867,277.440000,3.304755994
868,277.760000,3.301045681
869,278.080000,3.301045681
870,278.400000,3.297335368
871,278.720000,3.301045681
872,279.040000,3.301045681
873,279.360000,3.304755994
874,279.680000,3.304755994
875,280.000000,3.308466308
876,280.320000,3.308466308
877,280.640000,3.308466308
878,280.960000,3.304755994
879,281.280000,3.304755994
880,281.600000,3.301045681
881,281.920000,3.304755994
882,282.240000,3.304755994
883,282.560000,3.308466308
884,282.880000,3.308466308
885,283.200000,3.308466308
886,283.520000,3.312176621
887,283.840000,3.312176621
888,284.160000,3.312176621
889,284.480000,3.308466308
890,284.800000,3.304755994
891,285.120000,3.301045681
892,285.440000,3.301045681
893,285.760000,3.304755994
894,286.080000,3.304755994
895,286.400000,3.308466308
896,286.720000,3.308466308
897,287.040000,3.312176621
898,287.360000,3.308466308
899,287.680000,3.308466308
900,288.000000,3.308466308
901,288.320000,3.304755994
902,288.640000,3.308466308
903,288.960000,3.304755994
904,289.280000,3.308466308
905,289.600000,3.308466308
906,289.920000,3.312176621
907,290.240000,3.304755994
908,290.560000,3.301045681
909,290.880000,3.304755994
910,291.200000,3.304755994
911,291.520000,3.308466308
912,291.840000,3.312176621
913,292.160000,3.308466308
914,292.480000,3.304755994
915,292.800000,3.304755994
916,293.120000,3.308466308
917,293.440000,3.308466308
918,293.760000,3.312176621
919,294.080000,3.312176621
920,294.400000,3.312176621
921,294.720000,3.312176621
922,295.040000,3.308466308
923,295.360000,3.308466308
924,295.680000,3.304755994
925,296.000000,3.304755994
926,296.320000,3.304755994
927,296.640000,3.304755994
928,296.960000,3.304755994
929,297.280000,3.308466308
930,297.600000,3.304755994
931,297.920000,3.308466308
932,298.240000,3.308466308
933,298.560000,3.308466308
934,298.880000,3.308466308
935,299.200000,3.308466308
936,299.520000,3.312176621
937,299.840000,3.304755994
938,300.160000,3.301045681
939,300.480000,3.301045681
940,300.800000,3.304755994
941,301.120000,3.301045681
942,301.440000,3.301045681
943,301.760000,3.304755994
944,302.080000,3.304755994
945,302.400000,3.308466308
946,302.720000,3.308466308
947,303.040000,3.308466308
948,303.360000,3.312176621
949,303.680000,3.312176621
950,304.000000,3.308466308
951,304.320000,3.315886934
952,304.640000,3.315886934
953,304.960000,3.312176621
954,305.280000,3.315886934
955,305.600000,3.315886934
956,305.920000,3.312176621
957,306.240000,3.312176621
958,306.560000,3.312176621
959,306.880000,3.308466308
960,307.200000,3.315886934
961,307.520000,3.308466308
962,307.840000,3.308466308
963,308.160000,3.312176621
964,308.480000,3.308466308
965,308.800000,3.308466308
966,309.120000,3.304755994
967,309.440000,3.308466308
968,309.760000,3.315886934
969,310.080000,3.312176621
970,310.400000,3.308466308
971,310.720000,3.308466308
972,311.040000,3.308466308
973,311.360000,3.308466308
974,311.680000,3.304755994
975,312.000000,3.308466308
976,312.320000,3.312176621
977,312.640000,3.312176621
978,312.960000,3.319597247
979,313.280000,3.312176621
980,313.600000,3.308466308
981,313.920000,3.308466308
982,314.240000,3.308466308
983,314.560000,3.304755994
984,314.880000,3.304755994
985,315.200000,3.304755994
986,315.520000,3.308466308
987,315.840000,3.304755994
988,316.160000,3.304755994
989,316.480000,3.308466308
990,316.800000,3.308466308
991,317.120000,3.304755994
992,317.440000,3.308466308
993,317.760000,3.308466308
994,318.080000,3.312176621
995,318.400000,3.315886934
996,318.720000,3.312176621
997,319.040000,3.308466308
998,319.360000,3.308466308
999,319.680000,3.312176621
1000,320.000000,3.315886934
1001,320.320000,3.315886934
1002,320.640000,3.315886934
1003,320.960000,3.312176621
1004,321.280000,3.312176621
1005,321.600000,3.308466308
1006,321.920000,3.308466308
1007,322.240000,3.308466308
1008,322.560000,3.308466308
1009,322.880000,3.312176621
1010,323.200000,3.312176621
1011,323.520000,3.312176621
1012,323.840000,3.308466308
1013,324.160000,3.304755994
1014,324.480000,3.308466308
1015,324.800000,3.304755994
1016,325.120000,3.304755994
1017,325.440000,3.304755994
1018,325.760000,3.312176621
1019,326.080000,3.312176621
1020,326.400000,3.315886934
1021,326.720000,3.319597247
1022,327.040000,3.312176621
1023,327.360000,3.308466308
1024,327.680000,3.308466308
1025,328.000000,3.308466308
1026,328.320000,3.312176621
1027,328.640000,3.315886934
1028,328.960000,3.312176621
1029,329.280000,3.312176621
1030,329.600000,3.312176621
1031,329.920000,3.315886934
1032,330.240000,3.312176621
1033,330.560000,3.308466308
1034,330.880000,3.312176621
1035,331.200000,3.312176621
1036,331.520000,3.312176621
1037,331.840000,3.312176621
1038,332.160000,3.312176621
1039,332.480000,3.308466308
1040,332.800000,3.308466308
1041,333.120000,3.308466308
1042,333.440000,3.308466308
1043,333.760000,3.308466308
1044,334.080000,3.312176621
1045,334.400000,3.312176621
1046,334.720000,3.312176621
1047,335.040000,3.312176621
1048,335.360000,3.308466308
1049,335.680000,3.304755994
1050,336.000000,3.301045681
1051,336.320000,3.301045681
1052,336.640000,3.304755994
1053,336.960000,3.304755994
1054,337.280000,3.304755994
1055,337.600000,3.304755994
1056,337.920000,3.304755994
1057,338.240000,3.308466308
1058,338.560000,3.304755994
1059,338.880000,3.301045681
1060,339.200000,3.308466308
1061,339.520000,3.308466308
1062,339.840000,3.308466308
1063,340.160000,3.312176621
1064,340.480000,3.315886934
1065,340.800000,3.315886934
